...1,1990,2000,2012,...5,2013,2014,2015,2016,2017,2018,2019,2020,2021
,"48,881,177,965.6","72,909,498,600.0","297,251,899,034.1",,"303,328,059,828.8","296,585,318,554.7","240,390,270,340.3","228,099,684,351.9","260,057,115,696.8","283,606,020,540.7","271,645,379,047.0","226,009,110,308.1",..
,"32,941,353,363.1","45,650,583,083.7","197,858,775,578.3",,"199,829,351,189.8","183,594,753,379.2","130,063,321,469.2","119,244,443,908.6","144,880,678,807.6","171,571,767,516.8","182,344,448,240.9","144,301,504,587.5",..
El mundo árabe,..,..,..,,..,..,..,..,..,..,..,..,..
Estados pequeos del Caribe,"9,948,764,114.5","16,597,373,984.5","37,127,779,477.4",,"37,800,741,949.6","36,238,789,937.4","32,068,783,732.7","29,173,969,698.7","31,558,965,248.4","35,226,679,281.7","34,521,032,641.5","22,565,439,455.3",..
Europa Central y del Báltico,..,"177,493,503,118.8","852,305,540,321.0",,"911,809,104,469.5","956,709,494,617.4","847,276,974,622.0","882,329,254,166.5","1,003,368,380,234.8","1,119,626,537,980.3","1,125,333,880,015.1","1,070,995,418,772.3",..
inicial del dividendo demográfico,"399,218,206,125.8","876,849,524,447.0","2,932,670,981,930.9",,"2,957,911,187,441.1","2,929,987,682,883.9","2,489,917,620,740.4","2,426,334,034,510.4","2,746,481,230,460.9","3,064,811,690,676.0","3,073,510,607,126.0","2,585,875,359,654.2",..
Asia oriental y el Pacífico,"847,673,875,495.5","2,156,110,822,967.6","7,507,078,263,802.2",,"7,748,892,076,204.1","8,022,358,356,138.9","7,460,408,161,534.0","7,278,675,315,668.1","8,110,050,905,812.7","8,779,213,483,963.2","8,664,312,304,876.7","8,219,717,866,436.6",..
Asia oriental y el Pacífico (excluido altos ingresos),"176,540,868,403.5","534,278,371,302.2","3,347,225,947,937.9",,"3,565,014,083,398.8","3,758,278,637,163.8","3,569,347,718,715.8","3,423,611,840,520.2","3,859,319,634,788.4","4,174,468,858,516.4","4,171,800,742,186.9","4,106,258,756,249.6",..
Asia oriental y el Pacífico (BIRF y la AIF),"176,298,026,010.9","533,543,439,843.4","3,342,572,300,805.2",,"3,560,069,774,825.6","3,753,072,635,763.6","3,564,402,105,833.4","3,418,895,573,634.6","3,853,932,651,288.5","4,168,622,171,529.5","4,165,957,792,116.4","4,100,507,603,121.2",..
Zona del Euro,"1,824,613,522,526.5","2,712,525,147,408.3","6,979,816,247,354.7",,"7,303,393,588,109.7","7,571,087,889,150.7","6,739,410,312,463.4","6,864,208,057,988.6","7,463,811,898,142.5","8,270,098,554,508.8","8,060,344,571,889.4","7,354,075,201,860.4",..
Europa y Asia central,"2,709,968,446,232.3","4,230,333,896,815.8","11,283,751,684,050.5",,"11,718,314,225,930.9","12,009,517,132,529.1","10,538,413,296,897.8","10,552,770,431,400.5","11,586,839,544,659.4","12,882,755,068,743.5","12,636,009,039,220.0","11,351,592,696,293.8",..
Europa y Asia central (excluido altos ingresos),..,"244,347,866,370.6","1,314,799,834,340.2",,"1,344,951,468,578.9","1,309,571,055,157.3","1,001,867,194,822.7","927,514,380,983.2","1,098,309,164,652.2","1,282,098,630,679.5","1,273,214,126,440.8","1,056,708,697,942.3",..
Europa y Asia central (BIRF y la AIF),..,"301,489,645,509.4","1,573,883,363,193.6",,"1,623,705,673,161.7","1,606,932,224,224.8","1,273,117,924,636.4","1,210,458,920,600.3","1,427,197,249,906.4","1,655,052,734,863.3","1,653,905,574,466.9","1,434,580,684,640.4",..
Unión Europea,"2,019,895,072,088.8","3,069,631,773,279.7","8,149,604,057,218.5",,"8,537,740,853,579.5","8,854,544,442,778.8","7,867,360,732,910.7","8,015,860,779,972.6","8,752,304,732,339.3","9,693,795,157,577.4","9,498,711,327,019.6","8,720,234,952,191.8",..
Frágiles y situaciones de conflicto afectados,..,..,"538,933,391,860.0",,"515,527,581,373.0","455,494,117,552.2","301,911,864,693.5","259,734,452,641.4","328,140,761,460.4","417,354,129,969.2","418,100,200,112.2","277,333,763,277.0",..
