Data Source,Indicadores del desarrollo mundial,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66
Last Updated Date,44706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1087875.7,12264016.6,1300000,130502793.29608899,184748603.351955,-36983240.223463699,-17932960.8938547,-73184357.541899398,-5530726.2569832401,85027932.960893899,197821229.05027899,113463687.150838,467541899.44134098,-127932960.89385501,-266927374.30167601,332513966.48044699,159776536.31284899,-105698324.022346,-207798005.86816299,220316139.72383901,-471005586.592179,18882681.564245801,-10614525.139664801,186759776.536313,488156424.58100599,-314692737.43016797,226371388.82681599,250618094.972067,-28775856.424580999,27551267.6251579,162463551.51703799,135921173.40732899,-75226540.6843182,143116090.05638799,
,AFE,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,421709865.59999996,326490932.39999998,218888245.70000002,176559138.71000001,898515563.33943951,316834707.28015649,411261082.7136609,67103622.181923002,168439069.53401306,-12312370.235404385,483620276.46459854,372130053.33213764,581698643.39573753,86246455.016217589,598858245.28565753,106432296.25546359,411045300.7031548,279804684.2537719,536594623.83250463,400488555.90983123,88673056.813513666,1241968645.5725536,652324976.31714106,839509681.78594708,1187864680.1748416,2662958896.2638655,2087426790.375051,5757027922.5157986,4121573935.1935968,6254803630.5853348,4315007316.0971355,12205013826.717852,6464121932.6928043,8555149192.2071371,7979691821.3679142,10333884246.564526,7234542919.6286716,16122295356.625034,22483229907.211487,18484266803.80899,13934880233.303455,17538697878.774891,24636336183.864952,21534243340.290623,27681416018.204075,28774225014.315319,16842050894.07732,9955492706.1646442,14449631529.949986,14684836450.532539,12913412761.475733,
Afganistán,AFG,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,0,0,0,0,400000,0,0,10,-280000,360000,-20000,20000,-93326.600000000006,690000,-1460000,-10000,6040000,170000,680000,50000000,57799999.899999999,186900000,271000000,238000000,188690000,46033740,56107246.5,190774431.97999999,52173421,56823660,48311346,42975262.5,169146608,93591315.299999997,51533896.765000001,119435105.715177,23404553.647248998,12970147.983200001,
,AFW,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,407459999.59999996,388679999.69999999,476659999,642409999.5,518269117.68684131,969105150.4705658,605378805.49715054,778790474.85307515,751399198.55394471,785673507.75754225,-228089204.8027631,1172896062.1674852,878530340.3936938,768217164.30335438,338951391.00859594,893620026.79565954,204429670.55895588,1037919132.4847846,973621876.65145338,2569136447.7293754,1073307823.6258934,837652709.30660653,1214631404.0539579,1757936795.5014791,2389930550.7097464,945428066.17244065,1182474450.1820509,1622432324.6423473,1897977339.2295496,2391072130.1100917,2560188711.6603298,3224274418.8269958,4407637343.6858349,5261510987.4682989,4653437666.5450077,9277747003.787077,9200902070.0457344,13028503359.586632,16308512123.366751,18152376750.01992,18872476734.850742,24500018445.11998,20912706088.218708,19156931890.900574,16593990870.722464,15641341151.906403,13936765398.263496,17661035768.237358,15501756263.249746,17088454914.359152,17236343035.08918,
Angola,AGO,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2399999.8999999999,1860000,2160000,7540000,6690000,50000,-1169999.8999999999,,1870000,2000000,37420000,49049999.899999999,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1743504000,3576971780,2197227820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182.4499998,-3023770965.8368802,-1464627990.8828399,-7120017424.4614,3657514667.4932699,10028215162.6394,-179517618.91999999,-7397295409.1899099,-6456076413.1203299,-4098478747.6375499,-1866468113.0745399,
Albania,ALB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.66666701,341285112.53756201,262479012.63746399,325138316.80369699,652275603.722803,1247181714.3055799,1345415233.65622,1089898207.5743101,1048706682.05458,917994575.80186296,1254150555.5129399,1149927985.77737,989578334.82860899,1044389554.85795,1022757857.07377,1204383363.6047599,1201022154.46645,1069744879.65452,
Andorra,AND,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,489809999.79999995,47852734.621803001,267977643.70281881,-691490283.77695274,-3399182606.6621604,1474964060.3927374,406538235.22149122,924430386.84268641,638527390.91586065,-137420541.86067456,-3211683186.3315825,7107307475.3300209,11797986204.371401,5637820865.7421494,6253971511.4611807,2022484766.2215116,2333917876.2208071,12216556.785619125,1628746427.1090264,1312830828.2651978,3053835681.9742107,2123621590.7569256,3477597028.5931592,4331542878.4831724,4909888143.9008322,299885485.87506545,3662695408.9106073,8973444816.9066029,9641399373.6939526,2881569838.581903,3840491004.4804144,8899597181.5173092,6159576371.2856359,14595559434.375181,21373075474.48732,46048851175.048126,69481323910.097015,81836608641.047562,88751312330.117065,76654497097.989639,70001315696.501572,44868032639.753983,50079903885.930847,41259115294.923203,31042743759.694599,25507493631.252373,32582348457.854958,30063429264.307819,33766670546.996758,38979383399.694656,38174910771.38028,
Emiratos Árabes Unidos,ARE,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,7780000,6940000,10510000,3410000,1629999.8999999999,15949999.9,49430000,112239999.90000001,39119999.899999999,64579999.899999999,97640000,-16940000,95060000,45539999.899999999,170240000,-220960000,110209999.90000001,46719999.899999999,188889999.90000001,38789999.899999999,-115819999.90000001,25940000,129720000,401319999.89999998,62460000,399850000,300519999.89999998,232430000,257660000,-985340000,-506329999.89999998,1183840000,95299999.900000006,4255956433,10003500000,10899931930,12805990470,14186521440,5062972005,1134288135,8796769641,7152095826,9566651351,9764914527,11071537020,8550901847,9604773000,10354223000,10385286000,17874659400,19884468660,
Argentina,ARG,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,89769999.900000006,125670000,71719999.900000006,100250000,17920000,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523.0801401,2793085410.0982699,3634931878.2643499,5609423403.5646696,6948536686.6472502,9160272052.4445992,7290657132.0815601,23987696389.642799,10418314339.142799,2166136829.7639899,2148910000,1652010000,4124710000,5265250000,5537347786.1933098,6473157762.1291504,9725553129.5246906,4017158924.8840799,11332718626.4345,10839930944.681499,15323933916.8241,9821661858.1587391,5065335541.96486,11758994011.285999,3260164341.7739301,11516861462.2845,11716769818.754299,6663062111.9562902,4019052252.6825399,
Armenia,ARM,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399999.8999999999,800000,8000000,25320000,17570000,51940000,232375000,122034000,104188500,69868500,110725325.614409,122852992.703235,247140608.49588799,292073220.16472203,466531991.90172398,667671562.13449502,943733059.483284,760040745.87232995,529321391.64195901,653219756.47224998,496636701.12968701,346092394.39325601,406578406.69311202,184127986.314895,333733314.10460103,250935110.23913899,266824955.528034,100946084.083517,47183579.955460697,
Samoa Americana,ASM,"Inversión extranjera directa, entrada neta de capital (balanza de pagos, US$ a precios actuales)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
